Genre,Parent Genre
Dunedin Sound,Indie Rock
Garage Rock Revival,Indie Rock
Hamburger Schule,Indie Rock
Indie Surf,Indie Rock
Math Pop,Indie Rock
Midwest Emo,Indie Rock
New Rave,Indie Rock
Noise Pop,Indie Rock
Post-Punk Revival,Indie Rock
Slacker Rock,Indie Rock
Slowcore,Indie Rock
Twee Pop,Indie Rock
Jangle Pop,Indie Rock
C86,Jangle Pop
Neo-Acoustic,Jangle Pop
J-Rock,Alternative Rock
Yakousei,J-Rock
Paisley Underground,Alternative Rock
Post-Britpop,Alternative Rock
Post-Grunge,Alternative Rock
Shoegaze,Alternative Rock
Anatolian Rock,Rock
AOR,Rock
Art Punk,Rock
Art Rock,Rock
Bard Rock,Rock
Blues Rock,Rock
Boogie Rock,Blues Rock
British Rhythm & Blues,Rock
Candombe beat,Rock
Christian Rock,Rock
Comedy Rock,Rock
Country Rock,Rock
Cowpunk,Rock
Dark Cabaret,Rock
Deutschrock,Rock
Emo,Rock
Emocore,Emo
Emo-Pop,Emo
Midwest Emo,Emo
Screamo,Emo
Emoviolence,Screamo
Experimental Rock,Rock
Avant-Prog,Experimental Rock
Rock in Opposition,Avant-Prog
Zeuhl,Avant-Prog
Brutal Prog,Experimental Rock
Krautrock,Experimental Rock
No Wave,Experimental Rock
Folk Rock,Rock
Alpenrock,Folk Rock
British Folk Rock,Folk Rock
Celtic Rock,Folk Rock
Mittelalter-Rock,Folk Rock
Nordic Folk Rock,Folk Rock
Phleng phuea chiwit,Folk Rock
Pinoy Folk Rock,Folk Rock
Funk Rock,Rock
Funk Metal,Funk Rock
Garage Rock,Rock
Freakbeat,Garage Rock
Garage Punk,Garage Rock
Garage Rock Revival,Garage Rock
Glam Rock,Rock
Glam Punk,Glam Rock
Hardcore [Punk],Glam Punk
Easycore,Hardcore [Punk]
Grindcore,Hardcore [Punk]
Grindcore,Hardcore [Punk]
Cybergrind,Grindcore
Deathgrind,Grindcore
Goregrind,Grindcore
Gorenoise,Goregrind
Pornogrind,Goregrind
Mincecore,Grindcore
Hardcore Punk,Hardcore [Punk]
Beatdown Hardcore,Hardcore Punk
Burning Spirits,Hardcore Punk
Crossover Thrash,Hardcore Punk
Crust Punk,Hardcore Punk
Blackened Crust,Crust Punk
Neocrust,Crust Punk
Stenchcore,Crust Punk
D-Beat,Hardcore Punk
Japanese Hardcore,Hardcore Punk
Melodic Hardcore,Hardcore Punk
Mincecore,Hardcore Punk
New York Hardcore,Hardcore Punk
Powerviolence,Hardcore Punk
Skacore,Hardcore Punk
Crack Rock Steady,Skacore
Street Punk,Hardcore Punk
Thrashcore,Hardcore Punk
UK82,Hardcore Punk
Metalcore,Hardcore [Punk]
Deathcore,Metalcore
Mathcore,Metalcore
Melodic Metalcore,Metalcore
Nintendocore,Metalcore
Noisecore,Metalcore
Post-Hardcore,Metalcore
Emocore,Post-Hardcore
Screamo,Post-Hardcore
Swancore,Post-Hardcore
Sasscore,Post-Hardcore
Trancecore,Post-Hardcore
Hard Rock,Rock
Glam Metal,Hard Rock
Heavy Psych,Hard Rock
Stoner Rock,Hard Rock
Heartland Rock,Rock
Industrial Rock,Rock
Jam Band,Rock
Jamgrass,Jam Band
